date;Germany;India;US
2020-07-29;206926;1581963;4409869
2020-07-30;207828;1634746;4479110
2020-07-31;208698;1695988;4543686
2020-08-01;209653;1750723;4601264
2020-08-02;209893;1803695;4648373
2020-08-03;210402;1855745;4690057
2020-08-04;211281;1908254;4751714
2020-08-05;212022;1964536;4806062
2020-08-06;213067;2027074;4866241
2020-08-07;214214;2088611;4926828
2020-08-08;215336;2153010;4990761
2020-08-09;215891;2215074;5045028
2020-08-10;216327;2268675;5096645
2020-08-11;217293;2329638;5153600
2020-08-12;218519;2396637;5208844
2020-08-13;219964;2461190;5260500
2020-08-14;221413;2525922;5330625
2020-08-15;222828;2589952;5383019
2020-08-16;223453;2647663;5417681
2020-08-17;224014;2702681;5455530
2020-08-18;225404;2767253;5500432
2020-08-19;226914;2836925;5546315
2020-08-20;228621;2905825;5591443
2020-08-21;230048;2975701;5639034
2020-08-22;232082;3044940;5684707
2020-08-23;232864;3106348;5716618
2020-08-24;233575;3167323;5750541
2020-08-25;234853;3224547;5793214
2020-08-26;236429;3310234;5835287
2020-08-27;237936;3387500;5885805
2020-08-28;239507;3463972;5932275
2020-08-29;240986;3542733;5975378
2020-08-30;241771;3621245;6009509
2020-08-31;242381;3691166;6042871
2020-09-01;243599;3769523;6084849
2020-09-02;244855;3853406;6124810
2020-09-03;246166;3936747;6169951
2020-09-04;247619;4023179;6218285
2020-09-05;248997;4113811;6261908
2020-09-06;249985;4204613;6291027
2020-09-07;250799;4280422;6315590
2020-09-08;252298;4370128;6342334
2020-09-09;253474;4465863;6375972
2020-09-10;255366;4562414;6415420
2020-09-11;256850;4659984;6460043
2020-09-12;258480;4754356;6505626
2020-09-13;259428;4846427;6545917
2020-09-14;260355;4930236;6578481
2020-09-15;261762;5020359;6615659
2020-09-16;263663;5118253;6653951
2020-09-17;265857;5214677;6699270
2020-09-18;267773;5308014;6749454
2020-09-19;270070;5400619;6795232
2020-09-20;271415;5487580;6836842
2020-09-21;272337;5562663;6868885
2020-09-22;274158;5646010;6907156
2020-09-23;275927;5732518;6948276
2020-09-24;278070;5818570;6997159
2020-09-25;280223;5903932;7044295
2020-09-26;282730;5992532;7087842
2020-09-27;284140;6074702;7121621
2020-09-28;285332;6145291;7159361
2020-09-29;287421;6225763;7201394
2020-09-30;289219;6312584;7240025
2020-10-01;291722;6394068;7286269
2020-10-02;294395;6473544;7339712
2020-10-03;296958;6549373;7388993
2020-10-04;299237;6623815;7422124
2020-10-05;300619;6685082;7459481
2020-10-06;303258;6757131;7504026
2020-10-07;306086;6835655;7553163
2020-10-08;310144;6906151;7611053
2020-10-09;314660;6979423;7666132
2020-10-10;319381;7053806;7721498
2020-10-11;322864;7120538;7768398
2020-10-12;325331;7175880;7810478
2020-10-13;329453;7239389;7860601
2020-10-14;334585;7307097;7919043
2020-10-15;341223;7370468;7982580
2020-10-16;348557;7432680;8052754
2020-10-17;356387;7494551;8107586
2020-10-18;361974;7550273;8159756
2020-10-19;366299;7597063;8227638
2020-10-20;373167;7651107;8289375
2020-10-21;380762;7706946;8350081
2020-10-22;392049;7761312;8429703
2020-10-23;403291;7814682;8511363
2020-10-24;418005;7864811;8589738
2020-10-25;429181;7909959;8650713
2020-10-26;437866;7946429;8715277
2020-10-27;449275;7990322;8792500
2020-10-28;464239;8040203;8878977
2020-10-29;481013;8088851;8970270
2020-10-30;499694;8137119;9070119
2020-10-31;518753;8184082;9157462
2020-11-01;532930;8229313;9235292
2020-11-02;545027;8267623;9317099
2020-11-03;560379;8313876;9441865
2020-11-04;577593;8364086;9542127
2020-11-05;597583;8411724;9670208
2020-11-06;619089;8462080;9797264
2020-11-07;642488;8507754;9924328
2020-11-08;658505;8553657;10044001
2020-11-09;671868;8591730;10160957
2020-11-10;687200;8636011;10297509
2020-11-11;705687;8683916;10445191
2020-11-12;727553;8728795;10603987
2020-11-13;751095;8773479;10783505
2020-11-14;773556;8814579;10947555
2020-11-15;790503;8845127;11087270
2020-11-16;801327;8874290;11240358
2020-11-17;815746;8912907;11405005
2020-11-18;833307;8958483;11576974
2020-11-19;855916;9004365;11769275
2020-11-20;879564;9050597;11970944
2020-11-21;902528;9095806;12150764
2020-11-22;918269;9139865;12297351
2020-11-23;929133;9177840;12478863
2020-11-24;942687;9222216;12652425
